Nombre,Temporada,Victorias,Derrotas,id,Image
Atlanta Hawks,2023-24,7,7,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2022-23,41,41,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2021-22,43,39,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2020-21,41,31,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2019-20,20,47,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2018-19,29,53,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2017-18,24,58,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2016-17,43,39,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2015-16,48,34,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2014-15,60,22,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2013-14,38,44,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2012-13,44,38,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2011-12,40,26,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2010-11,44,38,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2009-10,53,29,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2008-09,47,35,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2007-08,37,45,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Atlanta Hawks,2006-07,30,52,1610612737,https://cdn.nba.com/logos/nba/1610612737/global/D/logo.svg
Boston Celtics,2023-24,12,3,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2022-23,57,25,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2021-22,51,31,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2020-21,36,36,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2019-20,48,24,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2018-19,49,33,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2017-18,55,27,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2016-17,53,29,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2015-16,48,34,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2014-15,40,42,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2013-14,25,57,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2012-13,41,40,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2011-12,39,27,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2010-11,56,26,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2009-10,50,32,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2008-09,62,20,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2007-08,66,16,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Boston Celtics,2006-07,24,58,1610612738,https://cdn.nba.com/logos/nba/1610612738/global/D/logo.svg
Brooklyn Nets,2023-24,6,8,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2022-23,45,37,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2021-22,44,38,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2020-21,48,24,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2019-20,35,37,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2018-19,42,40,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2017-18,28,54,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2016-17,20,62,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2015-16,21,61,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2014-15,38,44,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2013-14,44,38,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2012-13,49,33,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2011-12,22,44,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2010-11,24,58,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2009-10,12,70,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2008-09,34,48,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2007-08,34,48,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Brooklyn Nets,2006-07,41,41,1610612751,https://cdn.nba.com/logos/nba/1610612751/global/D/logo.svg
Charlotte Hornets,2023-24,5,9,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2022-23,27,55,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2021-22,43,39,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2020-21,33,39,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2019-20,23,42,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2018-19,39,43,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2017-18,36,46,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2016-17,36,46,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2015-16,48,34,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2014-15,33,49,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2013-14,43,39,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
Charlotte Hornets,2012-13,21,61,1610612766,https://cdn.nba.com/logos/nba/1610612766/global/D/logo.svg
